repo_owner,repo_name,complexity_score,success
alaingilbert,pyogame,32,True
RaterWebsite,Rater,14,True
fatimatechcampus,TechCampus-Three,10,True
CS3219-AY2425S1,cs3219-ay2425s1-project-g06,14,True
clojars,administration,4,True
arsh459,Quora-Cloning,16,True
opencloudos-stream,smartmontools,16,True
LikeLion-11th-Domtory,Domtory_Server,229,True
DeclareDesign,estimatr,168,True
openkylin,libtest-memory-cycle-perl,10,True
Azure,ADME-Solution-Accelerators,8,True
instructure,terraform-aws-ec2-autoscale-group,19,True
klaseskilson,vattentornet,54,True
openharmony-sig,flutter_pdfview_will_delete,31,True
OpenLiberty,guide-liberty-deep-dive-gradle,86,True
bxhsiman,BUPTSmartCarLearning,2,True
EugTech,king-pong-plan-2019,2,True
src-openeuler,nodejs-spdx-license-ids,9,True
microsoft,aitour-unlock-value-with-copilot,12,True
progedu,pull-request-training,2,True
StellarisW,cwgo,70,True
Molnes,Nyhetsjeger,37,True
ameliarahman,second-meeting,2,True
math-sousa,Lost-and-found-pets,104,True
ICEI-PUC-Minas-PMV-SI,pmv-si-2024-1-pe1-t1-nafaixa,78,True
src-anolis-ai,python-srsly,4,True
opencloudos-stream,iputils,10,True
commons-stack,ABCswap,6,True
tryyang2001,CS3213-Frontend-Management-System,45,True
src-openeuler,catfish,5,True
LikeMindsCommunity,likeminds-chat-reactnative,80,True
vention-js-lab,ventioners-stayhub-backend,30,True
gb-babybaby,baby-baby,6,True
fe-jul22-team10,project_nice_gadgets,28,True
mbrewer05,csc307-team3project,23,True
aws-samples,aws-config-track-aged-access-keys,9,True
chimerror,code-reviews,5,True
voorhoede,code-class-ci,36,True
alinealien,jogo-da-velha,4,True
nextcloud,nextcloud-directediting,28,True
food-rescue,food-rescue-app,8,True
infoshareacademy,jfdzr1-dancing-potatoes,92,True
woof-board,woof,16,True
Nirothipan,micro-integrator,28,True
antsermen,Acme-Toolkits-E3.08,2078,True
isomerpages,moe-evergreensec,920,True
mpashchenkov,open_model_zoo,63,True
Phansen47,FoodFeed,40,True
src-anolis-os,python-kdcproxy,2,True
augustoa10,Livraria,6,True
unt-carpentries,2018-06-05-unt-swc-collaboration,394,True
jjakobsons87,dino-adoption,22,True
JustasGau,DonjinKrawler,21,True
src-openeuler,openstack-octavia,4,True
lagom,online-auction-java,23,True
ds-ga-1007,assignment8,936,True
younjun1234,WOOFLY,10,True
2nd-team-b,front-wait,14,True
LAyers45,devsLink,34,True
phetsims,area-model-common,80,True
martinvol,tallerII,31,True
Teaching-projects,SZE-MOSZE-2020-Runtime_Terror,133,True
Hikanyan,AcquireSummerGameJamEarthTeam,96,True
groupby,storefront,56,True
typelevel,typelevel.github.com,194,True
stmcdonald-vt,convo-crafters,146,True
dream-wish-team,wish-board,2,True
mesosphere,dcos-docs-site,201,True
src-anolis-os,nss_wrapper,2,True
mollie,WooCommerce,118,True
FacultadInformatica-LinkedData,Curso2021-2022,324,True
pagopa,dx-typescript,19,True
bergmannfederico,caldar-G8,16,True
incubateind,gdtc-Day1,2,True
src-anolis-os,bolt,2,True
opencloudos-stream,perl-XML-LibXML,8,True
src-openeuler,pgpool2,17,True
Tauders,dratuIT,8,True
ovcharuks,SuperDevs-YachtJet,32,True
Logan-Ph,Building-IT-System,18,True
mulesoft,docs-api-experience-hub,14,True
StanislavFishkov,java-explore-with-me-plus,19,True
Benaud12,checkpoint_game,31,True
src-openeuler,perl-Class-Throwable,8,True
ds-ga-1007,assignment9,1791,True
src-anolis-os,qhull,2,True
Agile-Chess,chess,52,True
Praktikum-IF-R,Latihan-8,2,True
ScottishCovidResponse,Covid19_EERAModel,123,True
KenzieAcademy,backend-epithet-generator,8,True
src-openeuler,python-sphinxcontrib-github-alt,8,True
Instituto-Maua-de-Tecnologia,coil_frontend,36,True
jjangjjh2222,thu-space-invaders,85,True
QuinceIT,PQuince,49,True
moraroy,NonSteamLaunchersDecky,38,True
ConduceInc,conduce-python-api,65,True
w00ye0l,SMilE,24,True
src-anolis-os,sblim-sfcc,2,True
devontehillman,are-we-there-yet,38,True
ISAKids4Ever,RecruitmentApp,48,True
openjfx,jfx,91,True
190701-revature,name-list,0,False
tue-ees-5xwg0,power-system-simulation-myriad,30,True
ThrilledBerryTeam,infra,236,True
Volgarenok,spbspu-labs-2024-tp-a,2,True
MGBankNode,MGBankApp,28,True
src-openeuler,python-webassets,8,True
Fuck-We-Ballerz,DM885,19,True
SI-RPL-2022,SI4301_SIKESMAS,69,True
Hwylinc,sogiri-auto-calculation,23,True
minetest-mods,technic,92,True
uber,tchannel-java,22,True
cberganz,ft_transcendence,33,True
a-fiorito,NoteShare,78,True
opencloudos-stream,booth,2,True
e1b19058,kaiji,10,True
REmemory-team,REmemory-Nodejs,39,True
che2ese,BeLover,84,True
DataDog,go-gitlab,68,True
aperiosoftware,astropy,140,True
GTestay,arq-2020-q1,20,True
CSCI-GA-2820-SP24-001,customers,66,True
cse110-sp24-group18,cse110-sp24-group18,50,True
src-openeuler,filters,8,True
ChangePlusPlusVandy,ndc-frontend,32,True
DevThive,book_final,80,True
src-openeuler,python-async-timeout,8,True
aion-dk,election-verification-site,34,True
KAIST-IS521,Agreement,4,True
src-openeuler,python-timeunit,4,True
opencloudos-stream,libwpe,2,True
src-openeuler,ghc-hslua-aeson,8,True
mindbox-cloud,github-actions,47,True
ftornberg,Social-Network,54,True
joinpursuit,FSW-Redux-Two-Lab,4,True
hjalmers,angular-generic-table,62,True
tmonfre,git-lecture-collab,66,True
src-anolis-os,crash-trace-command,2,True
Con-Rez,autoDetailProject,30,True
src-anolis-os,perl-CPAN-Meta-Check,2,True
bmuellerhstat,06-kickstarter-lab,16,True
src-openeuler,mpi4py,8,True
th-koeln,mi-bachelor-screendesign,428,True
AdRiAnPg7,Mobile-Project,32,True
mattrobertsky,disguised-remuneration-frontend,24,True
coolcatsz,EquipRent,36,True
ray-project,rllib,0,False
segmentio,a1-notation,64,True
isomerpages,imda-pixel,244,True
xi-effect,xi.monorepo,16,True
src-openeuler,libmypaint,9,True
openkylin,libxmlb,11,True
Josh-University,git_training_swiggy1,56,True
cncf,telecom-user-group,12,True
vasilisalmpanis,ft_transcendence,22,True
Yujin051,lms-system-team-project,13,True
IBM,hybrid-analytics-mfp,59,True
llBackend7,MOIZA,14,True
StateFarmInsCodingCompetition,2018-StateFarm-CodingCompetitionProblem,15,True
ConsenSys,redash,213,True
fmidev,aviation-message-archiver,5,True
instructure,mc-go-mysql,221,True
PiotrRynio,CodersCamp-LiveChatHackathon2022,16,True
nodesign,weio,253,True
ironhack-labs,lab-react-cohort-tools,28,True
DigitalHouseBrasil,Mobile04,44,True
anderscc,CSC750_Project,34,True
kostant,chefio,18,True
src-anolis-os,perl-DBD-MySQL,2,True
luicfrr,react-native-vision-camera-face-detector,50,True
openharmony-sig,stb-image,243,True
src-openeuler,nodejs-dreamopt,9,True
UB-ES-2023-B3,sharing_pictures_webapp,34,True
aws-robotics,rmw_opensplice,9,True
sjponce,brava-sales,42,True
rmamidal,ADGMO,130,True
MobilePorting,FNF-PsychEngine-Mobile,67,True
fe-aug22-ta-y-take,phone_catalog_front-end,38,True
RAPID-Platform-Projects,Rapid-Docs,22,True
unsri-hackers,ecommerce,3,True
dimstefanakis,myshelf,66,True
src-openeuler,perl-Module-CPANfile,8,True
apache,sling-tooling-jenkins,21,True
IctEduTeam2,STANDSAFE,20,True
aquelemiguel,parrot,24,True
piamayuga,desktop-tutorial,0,False
TuanAnh1210,Braintech-App,26,True
src-anolis-module,maven,2,True
jaykrell,mono,905,True
LowerRockLabs,laravel-livewire-tables,58,True
DataDog,chef-python,46,True
stanreee,sign-language-learning,22,True
acn916,Senior-Project,6,True
pharo-vcs,iceberg,1606,True
sighBRG,Dynamic-webapplication-newton,28,True
ICS3UI-01-2016,3U-Quiz3,10,True
alaoweb,2020.alaoweb.org,288,True
openharmony-tpc,chromium_third_party_quic_trace,37,True
opencloudos-stream,corosync-qdevice,2,True
HayatEmraan,dwelling,50,True
asgeirrr,prezencka,36,True
sjgresha,The-Dinner-Club,18,True
xendit,xendit-opencart-module,9,True
COMU-BLM4022,Exercises,2,True
IsmaelRuizJurado,Acme-L3-D04,34,True
src-openeuler,rubygem-net-scp,13,True
painprog,LetsGo,2,True
ScottishCovidResponse,data_pipeline_api,68,True
Test-Pro-Bootcamp,A55-QA-Automation-Framework,4,True
vchernin,easyeffects,835,True
umassd-dataviz,CIS-470-TermTest,26,True
src-openeuler,lohit-bengali-fonts,6,True
src-anolis-os,python-websocket-client,2,True
GeekUniversity,Frontend-05-Template,42,True
Shi-553,ReLeaF,102,True
src-openeuler,perl-Dist-CheckConflicts,8,True
nmrodio,NFL_Fantasy_Football,46,True
polispay,polis,2,True
Zesty-Surprise,feedback-frontend,31,True
mipengine,mip2-extensions,20,True
alice-skills,bufet,50,True
cesurvmnc,examen2024,114,True
equinor,resdata,56,True
UBC-MDS,dsci_525_group18,21,True
bekindtomammals0,ASI_HR-Hiring-System_Group4,74,True
perfume-pick,purple-front,19,True
jakescheele,whats-in-store,42,True
Ada-C7,trek,4,True
kozubskyi,goit-react-node-project,24,True
kurenn,market_place_api,34,True
The-Dirty-Dino-Mites,holeDat,36,True
src-openeuler,wqy-microhei-fonts,7,True
tanyagupta0201,LeetCode-Problems-Solutions,570,True
joinpursuit,Pursuit-Core-iOS-5-3-Fellows-List,2,True
front-camp-2018,tags-input,16,True
lynntfuzz,ToDoOrNotToDo,38,True
scribeWiz-team,ScribeWiz,21,True
src-anolis-os,yaml-cpp,2,True
funmusicplace,mirlo,78,True
AlexGeekBrains,online-classifieds,5,True
ironhack-labs,lab-react-state-training,24,True
javaee,jsonp,17,True
LambdaSchool,Sprint-Challenge--Security-Theory,6,True
src-anolis-os,perl-Unicode-CheckUTF8,4,True
timofeysie,serene-brushlands,70,True
opencloudos-stream,qt5-qtlocation,8,True
hemenkapadia,getbhavcopy,15,True
ga-wdi-exercises,checkpoint-express-mongoose-short,22,True
